out_name,units,long_name,standard_name,priority,comments,frequency
ua300,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua250,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua250,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua250,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
ua200,m s-1,Eastward Wind,eastward_wind,TIER1,,mon
ua200,m s-1,Eastward Wind,eastward_wind,TIER1,,day
ua200,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt
va1000,m s-1,Northward Wind,northward_wind,TIER1,,mon
va1000,m s-1,Northward Wind,northward_wind,TIER1,,day
va1000,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va925,m s-1,Northward Wind,northward_wind,TIER1,,mon
va925,m s-1,Northward Wind,northward_wind,TIER1,,day
va925,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va850,m s-1,Northward Wind,northward_wind,TIER1,,mon
va850,m s-1,Northward Wind,northward_wind,TIER1,,day
va850,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va700,m s-1,Northward Wind,northward_wind,TIER1,,mon
va700,m s-1,Northward Wind,northward_wind,TIER1,,day
va700,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va600,m s-1,Northward Wind,northward_wind,TIER1,,mon
va600,m s-1,Northward Wind,northward_wind,TIER1,,day
va600,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va500,m s-1,Northward Wind,northward_wind,TIER1,,mon
va500,m s-1,Northward Wind,northward_wind,TIER1,,day
va500,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va400,m s-1,Northward Wind,northward_wind,TIER1,,mon
va400,m s-1,Northward Wind,northward_wind,TIER1,,day
va400,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va300,m s-1,Northward Wind,northward_wind,TIER1,,mon
va300,m s-1,Northward Wind,northward_wind,TIER1,,day
va300,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va250,m s-1,Northward Wind,northward_wind,TIER1,,mon
va250,m s-1,Northward Wind,northward_wind,TIER1,,day
va250,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
va200,m s-1,Northward Wind,northward_wind,TIER1,,mon
va200,m s-1,Northward Wind,northward_wind,TIER1,,day
va200,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt
ta1000,K,Air Temperature,air_temperature,TIER1,,mon
ta1000,K,Air Temperature,air_temperature,TIER1,,day
ta1000,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta925,K,Air Temperature,air_temperature,TIER1,,mon
ta925,K,Air Temperature,air_temperature,TIER1,,day
ta925,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta850,K,Air Temperature,air_temperature,TIER1,,mon
ta850,K,Air Temperature,air_temperature,TIER1,,day
ta850,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta700,K,Air Temperature,air_temperature,TIER1,,mon
ta700,K,Air Temperature,air_temperature,TIER1,,day
ta700,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta600,K,Air Temperature,air_temperature,TIER1,,mon
ta600,K,Air Temperature,air_temperature,TIER1,,day
ta600,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta500,K,Air Temperature,air_temperature,TIER1,,mon
ta500,K,Air Temperature,air_temperature,TIER1,,day
ta500,K,Air Temperature,air_temperature,TIER1,,6hrPt
ta400,K,Air Temperature,air_temperature,TIER1,,mon
ta400,K,Air Temperature,air_temperature,TIER1,,day
ta400,K,Air Temperature,air_temperature,TIER1,,6hrPt
