out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods,modeling_realm,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
siconca,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
siconca,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time p1000,real,,,,,
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time p1000,real,,,,,
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 p1000,real,,,,,
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time p925,real,,,,,
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time p925,real,,,,,
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 p925,real,,,,,
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time p850,real,,,,,
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time p850,real,,,,,
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 p850,real,,,,,
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time p700,real,,,,,
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time p700,real,,,,,
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 p700,real,,,,,
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time p600,real,,,,,
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time p600,real,,,,,
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 p600,real,,,,,
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time p500,real,,,,,
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time p500,real,,,,,
